
Host                                            Status       Expires      Days
cpschools.hrvlc.org:443                         Valid        Nov 26 2013  368                                
gcps.hrvlc.org:443                              Valid        Nov 26 2013  368                                
ncps.hrvlc.org:443                              Valid        Nov 26 2013  368                                
nnps.hrvlc.org:443                              Valid        Nov 26 2013  368                                
nps.hrvlc.org:443                               Valid        Nov 26 2013  368                                
pcps.desire2learn.com:443                       Valid        Jul 23 2013  242                                
pps.hrvlc.org:443                               Valid        Nov 26 2013  368                                
southampton.hrvlc.org:443                       Valid        Nov 26 2013  368                                
secep.hrvlc.org:443                             Valid        Nov 26 2013  368                                
spsk12.hrvlc.org:443                            Valid        Nov 26 2013  368                                
sussex.hrvlc.org:443                            Valid        Nov 26 2013  368                                
vbschools.hrvlc.org:443                         Valid        Nov 26 2013  368                                
wjcc.hrvlc.org:443                              Valid        Nov 26 2013  368                                
desire2learn.4cd.edu:443                        Valid        Jan 27 2015  795                                
fhecommunity.desire2learn.com:443               Valid        Jul 23 2013  242                                
pathways4u.desire2learn.com:443                 Valid        Jul 23 2013  242                                
edfuture.desire2learn.com:443                   Valid        Jul 23 2013  242                                
d2l.chipola.edu:443                             Valid        Aug 14 2015  994                                
online.fkcc.edu:443                             Valid        Aug 6 2013   256                                
oes.desire2learn.com:443                        Valid        Jul 23 2013  242                                
mbmjconnect.desire2learn.com:443                Valid        Jul 23 2013  242                                
hmh.desire2learn.com:443                        Valid        Jul 23 2013  242                                
polk.desire2learn.com:443                       Valid        Jul 23 2013  242                                
elearn.jcsd1.us:443                             Valid        Aug 17 2016  1363                               
learn.uwaterloo.ca:443                          Valid        Jul 25 2014  609                                
worldclass.regis.edu:443                        Valid        Aug 25 2013  275                                
learning.cica.ca:443                            Valid        Jul 4 2014   588                                
ccps.mdk12online.org:443                        Valid        Jul 23 2013  242                                
elearn.apsu.edu:443                             Valid        Mar 29 2013  126                                
elearn.clevelandstatecc.edu:443                 Valid        Mar 29 2013  126                                
elearn.columbiastate.edu:443                    Valid        Mar 28 2013  125                                
elearn.chattanoogastate.edu:443                 Valid        Mar 30 2013  127                                
elearn.dscc.edu:443                             Valid        Mar 28 2013  125                                
elearn.etsu.edu:443                             Valid        Apr 19 2013  147                                
elearn.jscc.edu:443                             Valid        Mar 29 2013  126                                
elearn.mscc.edu:443                             Valid        Mar 29 2013  126                                
elearn.mtsu.edu:443                             Valid        Mar 28 2013  125                                
elearn.nscc.edu:443                             Valid        Mar 28 2013  125                                
elearn.northeaststate.edu:443                   Valid        Mar 29 2013  126                                
elearn.pstcc.edu:443                            Valid        Mar 28 2013  125                                
elearn.rocewf.org:443                           Valid        Mar 28 2013  125                                
elearn.rodp.org:443                             Valid        Mar 28 2013  125                                
elearn.roanestate.edu:443                       Valid        Mar 30 2013  127                                
eLearn.southwest.tn.edu:443                     Valid        Mar 29 2013  126                                
elearn.tbronline.org:443                        Valid        Mar 27 2013  124                                
elearn.tnstate.edu:443                          Valid        Mar 29 2013  126                                
elearn.ttcworkforce.org:443                     Valid        Mar 28 2013  125                                
elearn.tntech.edu:443                           Valid        Mar 29 2013  126                                
elearn.memphis.edu:443                          Valid        Apr 19 2013  147                                
elearn.volstate.edu:443                         Valid        Mar 30 2013  127                                
elearn.ws.edu:443                               Valid        Mar 28 2013  125                                
avenue.cllmcmaster.ca:443                       Valid        Jun 15 2015  934                                
www.myproductivitynow.com:443                   Valid        Feb 24 2013  93                                 
myacademy.pg.com:443                            Valid        Jul 16 2013  235                                
conestoga.desire2learn.com:443                  Valid        Nov 4 2015   1076                               
lmscloud.desire2learndemo.com:443               Valid        May 15 2015  903                                
